Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otras Tecnologias,Mbps (Media de bajada),Accesos por cada 100 hogares,Periodo,Accesos Totales,Accesos Totales en el Periodo Anterior,Nuevos Accesos,Nuevos Acesos Cada 100 Hogares (NACH),Accesos por cada 100 hogares (nacional),Coeficiente de Desigualdad de Penetración por Hogar (CoDePH),Porcentaje Fibra Óptica (PReFO)
2023,4,Córdoba,115662,452380,440536,61862,8862,"114,03","90,67",2023 - Q4,1079302,1069334,9968,"0,93","72,00","0,16","40,82%"
2023,4,Entre Ríos,41794,159575,61667,24036,11565,"101,18","69,94",2023 - Q4,298637,293293,5344,"1,82","72,00","0,16","20,65%"
2023,4,Formosa,10252,18325,16179,17061,185,"83,35","39,23",2023 - Q4,62002,61314,688,"1,12","72,00","0,16","26,09%"
2023,4,Tierra Del Fuego,9357,48071,3682,157,332,"17,92","110,49",2023 - Q4,61599,58731,2868,"4,88","72,00","0,16","5,98%"
2023,4,Jujuy,11669,51083,49947,4105,1216,"46,20","57,78",2023 - Q4,118020,117377,643,"0,55","72,00","0,16","42,32%"
2023,4,Mendoza,17676,70920,182220,27609,926,"49,46","52,15",2023 - Q4,299351,298022,1329,"0,45","72,00","0,16","60,87%"
2023,4,Misiones,25840,79000,75382,12928,7183,"93,65","56,27",2023 - Q4,200333,197135,3198,"1,62","72,00","0,16","37,63%"
2023,4,Neuquén,24122,73784,41583,24390,748,"99,63","79,91",2023 - Q4,164627,164273,354,"0,22","72,00","0,16","25,26%"
2023,4,Río Negro,21192,49789,64323,17284,15829,"74,37","70,26",2023 - Q4,168417,163485,4932,"3,02","72,00","0,16","38,19%"
2023,4,Salta,26765,98853,60800,11806,6508,"83,04","56,98",2023 - Q4,204732,206233,-1501,"-0,73","72,00","0,16","29,70%"
2023,4,San Juan,12669,18543,42691,22351,6956,"24,78","50,08",2023 - Q4,103210,103730,-520,"-0,50","72,00","0,16","41,36%"
2023,4,San Luis,4037,41260,30135,78954,299,"174,59","102,07",2023 - Q4,154685,148916,5769,"3,87","72,00","0,16","19,48%"
2023,4,Santa Cruz,7768,15669,55246,7687,661,"36,77","73,75",2023 - Q4,87031,47987,39044,"81,36","72,00","0,16","63,48%"
2023,4,Santa Fe,97004,398670,355762,44521,13544,"99,81","79,75",2023 - Q4,909501,900352,9149,"1,02","72,00","0,16","39,12%"
2023,4,La Pampa,6844,59063,34331,19982,1106,"25,61","99,96",2023 - Q4,121326,119921,1405,"1,17","72,00","0,16","28,30%"
2023,4,Tucumán,41318,20267,199876,4357,517,"101,55","61,04",2023 - Q4,266335,266557,-222,"-0,08","72,00","0,16","75,05%"
